tag,descripcion,sI/NO
P#LS0323_FASEG8,FASE EN CURSO GRUPO C68A8,
P#LS0323_FASEG6,FASE EN CURSO GRUPO C6-A6,
P#LS0323_FASEG7,FASE EN CURSO GRUPO C7-A7,
P#LS3326_FSLM03,FASE EN CURSO LECHO MIXTO 3,
P#LS3330_FSLM04,FASE EN CURSO LECHO MIXTO 4,
P#LS0323_REAN06,FASES REGEN ANION G.R  6,
P#LS0331_REAN01,FASES REGEN ANION G.R 1,
P#LS0631_REAN10,FASES REGEN ANION G.R 10,
P#LS0714_REAN11,FASES REGEN ANION G.R 11,
P#LS0331_REAN02,FASES REGEN ANION G.R 2,
P#LS0431_REAN04,FASES REGEN ANION G.R 4,
P#LS0331_REAN05,FASES REGEN ANION G.R 5,
P#LS0323_REAN08,FASES REGEN ANION G.R 8,
P#LS0714_REAN09,FASES REGEN ANION G.R 9,
P#LS0323_REGR07,FASES REGEN CAT-ANI G.R 7,
P#LS0331_RECA01,FASES REGEN CATION G.R 1,
P#LS0631_RECA10,FASES REGEN CATION G.R 10,
P#LS0714_RECA11,FASES REGEN CATION G.R 11,
P#LS0331_RECA02,FASES REGEN CATION G.R 2,
P#LS0431_RECA04,FASES REGEN CATION G.R 4,
P#LS0331_RECA05,FASES REGEN CATION G.R 5,
P#LS0323_RECA06,FASES REGEN CATION G.R 6,
P#LS0323_RECA08,FASES REGEN CATION G.R 8,
P#LS0714_RECA09,FASES REGEN CATION G.R 9,
P#LS0335_PTFD72,PRESIÓN DIF PRENSA ALIM.35/35/09,
P#LS3354_PTBF73,PRESION DIFEREN. PRENSA ALIM W6,
P#LS0633_PTBJ72,PRESION DIFERENCIAL PRENSA W2,
P#LS0333_PTBF73,PRESION DIFERENCIAL PRENSA W6,
P#LS0325_PTFM70,PT DIFERENCIAL PRENSA 1 W8,
P#LS0325_PTFM71,PT DIFERENCIAL PRENSA 2 W8,
P#LS0633_PTEA70,PT DIFERENCIAL PRENSA ALIM W5,
P#LS0511_PTAG70,CONTRAPRESION 1ª TUYERE DC,
P#LS0432_PTAI70,PRESION COLECTOR TORRE NEGRO,
P#LS0546_PTDE70,PRESION DIF FILTRO TRANSP DX,
P#LS1727_PDGW10,PRESION DIFERENCIAL FILT GAF W10,
P#LS0327_PDGFW7,PRESION DIFERENCIAL FILT GAF W7,
P#LS0716_PTDG70,PRESION DIFERENCIAL FILT W-9,
P#LS0511_PTAF73,PRESION ENTRADA 1ª TUYERE DC,
P#LS0625_P1CL70,PRESION ENTRADA FILT GAF SDA W8,
P#LS0625_PTCL70A,PRESION ENTRADA FILTR GAF SDA W8,
P#LS1727_PTHP71,PRESION ENTRADA FILTRO GAF W10,
P#LS0327_PTHL85,PRESION ENTRADA FILTRO GAF W7,
P#LS3354_PTBF70,PRESION ENTRADA PRENSA ALIM W6,
P#LS0633_PTBJ70,PRESION ENTRADA PRENSA W2,
P#LS0333_PTBF70,PRESION ENTRADA PRENSA W6,
P#LS0716_P1DG70,PRESION ETDA FILTRO SDA W9,
P#LS0415_PTEJ70,PRESION FILTRO NIAGRA Nº2 H0,
P#LS0415_PTEK70,PRESION FILTRO NIAGRA Nº3 H0,
P#LS0415_PTEL70,PRESION FILTRO NIAGRA Nº4 H0,
P#LS0624_PTFI70,PRESION NIAGARA Nº6 GLUCOSA,
P#LS0624_PTFI71,PRESION NIAGARA Nº7 GLUCOSA,
P#LS1727_PTHP73,PRESION SALIDA FILTRO GAF W10,
P#LS0327_PTHL86,PRESION SALIDA FILTRO GAF W7,
P#LS3354_PTBF71,PRESION SALIDA PRENSA ALIM W6,
P#LS0633_PTBJ71,PRESION SALIDA PRENSA W2,
P#LS0333_PTBF71,PRESION SALIDA PRENSA W6,
P#LS0325_PTCL70B,PRESION SDA FILTRO GAF SDA W8,
P#LS0625_P2CL70,PRESION SDA FILTRO GAF SDA W8,
P#LS0716_P2DG70,PRESION SDA FILTROS SDA W9,
P#LS3343_LTAA70,NIVEL CUBETA LAVADO CIP,
P#LS3343_CIPETA,VOLUMEN CIP A EDAR,
P#LS3343_VCIPPA,VOLUMEN CIP A PEQUEÑAS AGUAS,
P#LS3343_CIPH2O,VOLUMEN CIP LAVADO AGUA,
P#LS3343_LAVCIP,VOLUMEN LAVADO CIP,
P#LS0844_CD100_E,ESTADO CIRCUITO SECADERO DX,QUÉ ESTADO ES LAVADO
P#LS0716_DTDH77,SUCROMETRO CONDENSADOS W9,
P#LS0502_DTEJ70,SUCROMETRO CUBA AGUA CONDENS,
P#LS0628_D1BE75,BRIX RECUP CARGAS GLUC A TIT AZU,
P#LS0628_DTBE75,DT RECUP CARGAS GLUC A TIT AZUCA,
P#LE0316_VRANGL,VOL RECUP ANION GRUPOS GLUC,
P#LE0316_VRCAGL,VOL RECUP CATION GRUPOS GLUC,
P#LE0716_VRCAH0,VOL RECUP CATION GRUPOS H0,
P#LE0716_VRANH0,VOL RECUPERACION ANION GRUPO H0,
P#LE0316_VRALM4,VOL. RECUP. ÁCIDO LECHO MIXTO 4,
P#LE0616_VRAG10,VOL. RECUP. ANIÓN GRUPO 10,
P#LE0416_VRANG4,VOL. RECUP. ANIÓN GRUPO 4,
P#LE0316_VRANG5,VOL. RECUP. ANIÓN GRUPO 5,
P#LE0616_VRCG10,VOL. RECUP. CATIÓN GRUPO 10,
P#LE0416_VRCAG4,VOL. RECUP. CATIÓN GRUPO 4,
P#LE0316_VRCAG5,VOL. RECUP. CATIÓN GRUPO 5,
P#LE0416_VORLM3,VOL. RECUP. LECHO MIXTO 3,
P#LS0845_PTDB70,PRESION LECHO FLUIDO,
P#LS3910_CMHL53,STATUS BOMBA ALIMENTACION W7,
P#LS1727_STAW10,W10 STATUS,DEFINIR ESTADO
P#LS1727_W10100_Q,W10 STATUS,DEFINIR ESTADO
P#LS1727_HP100_E,W10 STATUS,DEFINIR ESTADO
P#LS0327_STATW7,W7 STATUS,DEFINIR ESTADO
P#LS0327_HL100_E,W7 STATUS,DEFINIR ESTADO
P#LS0528_DTGA75,BRIX PUNTO CARGA Nº1 GLUCOSA,
P#LS0528_DTGA76,BRIX PUNTO CARGA Nº2 GLUCOSA,
P#LE3009_DTBE72,COR TITÁNIC AZÚCARES,
P#LE3008_DTOBE73,COT TITÁNIC AZÚCARES NUEVO,
P#LE3009_DTBE70,DTO TITANIC AZUCARES,
P#LS1700_D1BE70,DTO2 MANTENIDO SDA TITANIC AZUC,
P#LS1700_DTBE70,DTO2 SALIDA TITANIC AZUCARES,
P#LS0628_FTBE74,Q RECUP CARGAS GLUC A TIT AZUCAR,
P#LE0913_FTBE71,Q TITANIC AZUCARES A CUBA A.A.,
P#LS1700_DHBE70,,
P#LS1700_DHBD70,,
P#LS1700_DHBE71,,
P#LE0913_CMBE51,,
P#LE0913_CMBE52,,
P#LE3007_FTBD72,,
P#LE3008_DTOBE72,COT AGUAS ÁCIDAS NUEVO,
P#LE3009_DTBE71,COT AGUAS ÁCIDAS,
P#LE3009_DTBE72,COR TITÁNIC AZÚCARES,
P#LE3008_DTOBE73,COT TITÁNIC AZÚCARES NUEVO,
P#LE3009_DTBD70,,
P#LE3009_DTBE70,,
P#LS1700_D1BE71,,
P#LS1700_D1BD70,,
P#LS1700_D1BE70,,
P#LE3009_LTBE70,,
P#LC0900_FTBE70,,
P#LE0913_FTBE71,,
P#LE0913_EVBE01,,
